"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","291","Update exercise","LMS service","Tue Jul 22 16:58:46 GMT 2025","passed","Tue Jul 22 16:58:46 GMT 2025","Update entity","Exercises","",""
"
        Тест проверяет создание курса через API.
        ","25","Create course","LMS service","Tue Jul 22 16:58:44 GMT 2025","passed","Tue Jul 22 16:58:44 GMT 2025","Create entity","Courses","",""
"
        Тест проверяет получение задания через API.

        :param exercises_client: Экземпляр ExercisesClient для выполнения API-запросов
        :param function_exercise: Фикстура, предоставляющая данные задания
        :raises AssertionError: Если код ответа, тело ответа или JSON-схема не соответствуют ожидаемым
        ","14","Get exercise","LMS service","Tue Jul 22 16:58:47 GMT 2025","passed","Tue Jul 22 16:58:47 GMT 2025","Get entity","Exercises","",""
"","265","Create file","LMS service","Tue Jul 22 16:58:48 GMT 2025","passed","Tue Jul 22 16:58:49 GMT 2025","Create entity","Files","",""
"","286","Create user","LMS service","Tue Jul 22 16:58:51 GMT 2025","passed","Tue Jul 22 16:58:52 GMT 2025","Create entity","Users","",""
"","264","Create file with empty directory","LMS service","Tue Jul 22 16:58:51 GMT 2025","passed","Tue Jul 22 16:58:51 GMT 2025","Validate entity","Files","",""
"","13","Get user me","LMS service","Tue Jul 22 16:58:53 GMT 2025","passed","Tue Jul 22 16:58:53 GMT 2025","Get entity","Users","",""
"","551","Login with correct email and password","LMS service","Tue Jul 22 16:58:43 GMT 2025","passed","Tue Jul 22 16:58:43 GMT 2025","Login","Authentication","",""
"","17","Delete file","LMS service","Tue Jul 22 16:58:50 GMT 2025","passed","Tue Jul 22 16:58:50 GMT 2025","Delete entity","Files","",""
"","261","Create file with empty filename","LMS service","Tue Jul 22 16:58:50 GMT 2025","passed","Tue Jul 22 16:58:50 GMT 2025","Validate entity","Files","",""
"","259","Get file with incorrect file id","LMS service","Tue Jul 22 16:58:51 GMT 2025","passed","Tue Jul 22 16:58:51 GMT 2025","Validate entity","Files","",""
"","13","Get file","LMS service","Tue Jul 22 16:58:49 GMT 2025","passed","Tue Jul 22 16:58:49 GMT 2025","Get entity","Files","",""
"","24","Get courses","LMS service","Tue Jul 22 16:58:44 GMT 2025","passed","Tue Jul 22 16:58:44 GMT 2025","Get entities","Courses","",""
"","540","Create user","LMS service","Tue Jul 22 16:58:51 GMT 2025","passed","Tue Jul 22 16:58:51 GMT 2025","Create entity","Users","",""
"
        Тест проверяет создание задания через API.

        :param exercises_client: Экземпляр ExercisesClient для выполнения API-запросов
        :param function_course: Фикстура, предоставляющая данные курса
        :raises AssertionError: Если код ответа, тело ответа или JSON-схема не соответствуют ожидаемым
        ","17","Create exercise","LMS service","Tue Jul 22 16:58:46 GMT 2025","passed","Tue Jul 22 16:58:46 GMT 2025","Create entity","Exercises","",""
"","551","Create user","LMS service","Tue Jul 22 16:58:51 GMT 2025","passed","Tue Jul 22 16:58:52 GMT 2025","Create entity","Users","",""
"","27","Update course","LMS service","Tue Jul 22 16:58:45 GMT 2025","passed","Tue Jul 22 16:58:45 GMT 2025","Update entity","Courses","",""
"","18","Get exercises","LMS service","Tue Jul 22 16:58:48 GMT 2025","passed","Tue Jul 22 16:58:48 GMT 2025","Get entities","Exercises","",""
"
        Тест проверяет удаление задания и последующую попытку его получения.
        ","290","Delete exercise","LMS service","Tue Jul 22 16:58:47 GMT 2025","passed","Tue Jul 22 16:58:48 GMT 2025","Delete entity","Exercises","",""
